"zip","id","formattedAddress","addressLine1","city","state","zipCode","county","latitude","longitude","propertyType","listingType","bedrooms","bathrooms","squareFootage","lotSize","yearBuilt","status","price","listedDate","removedDate","daysOnMarket","addressLine2"
"1","3024-Shannon-Rd,-Blackstock,-SC-29014","3024 Shannon Rd, Blackstock, SC 29014","3024 Shannon Rd","Blackstock","SC","29014","Chester",34.5674,-81.1298,"Single Family","Standard",3,3,2780,NA,NA,"Inactive",4895,"2025-08-24T00:00:00.000Z","2025-08-25T00:00:00.000Z",1,NA
"1","3046-Shannon-Rd,-Blackstock,-SC-29014","3046 Shannon Rd, Blackstock, SC 29014","3046 Shannon Rd","Blackstock","SC","29014","Chester",34.5638,-81.1294,"Single Family","Standard",4,2,1038,NA,2022,"Inactive",1795,"2025-08-23T00:00:00.000Z","2025-08-24T00:00:00.000Z",1,NA
"1","3046-Shannon-Rd,-Chester,-SC-29014","3046 Shannon Rd, Chester, SC 29014","3046 Shannon Rd","Chester","SC","29014","Chester",34.5638,-81.129,"Manufactured",NA,4,2,NA,108900,2022,"Inactive",1695,"2023-04-25T00:00:00.000Z","2023-05-24T00:00:00.000Z",29,NA
"1","153-155-157-W-End-St,-Chester,-SC-29706","153-155-157 W End St, Chester, SC 29706","153-155-157 W End St","Chester","SC","29706","Chester",34.7022,-81.2207,"Apartment","Standard",2,1.5,838,NA,1970,"Active",895,"2024-05-10T00:00:00.000Z","list()",573,NA
"1","200-York-St,-Apt-G2,-Chester,-SC-29706","200 York St, Apt G2, Chester, SC 29706","200 York St","Chester","SC","29706","Chester",34.7177,-81.2074,"Apartment","Standard",2,1,750,NA,1960,"Active",825,"2025-11-20T00:00:00.000Z","list()",14,"Apt G2"
"1","200-York-St,-Apt-F2,-Chester,-SC-29706","200 York St, Apt F2, Chester, SC 29706","200 York St","Chester","SC","29706","Chester",34.7173,-81.2075,"Apartment","Standard",2,1,750,NA,1960,"Active",825,"2025-11-20T00:00:00.000Z","list()",14,"Apt F2"
"1","152-Gregg-St,-Unit-B,-Chester,-SC-29706","152 Gregg St, Unit B, Chester, SC 29706","152 Gregg St","Chester","SC","29706","Chester",34.7166,-81.2053,"Townhouse","Standard",2,1.5,923,NA,NA,"Active",1350,"2025-11-13T00:00:00.000Z","list()",21,"Unit B"
"1","120-Main-St,-Chester,-SC-29706","120 Main St, Chester, SC 29706","120 Main St","Chester","SC","29706","Chester",34.7054,-81.214,"Apartment","Standard",1,1,700,NA,NA,"Active",772,"2025-02-27T00:00:00.000Z","list()",280,NA
"1","200-York-St,-Apt-G4,-Chester,-SC-29706","200 York St, Apt G4, Chester, SC 29706","200 York St","Chester","SC","29706","Chester",34.7179,-81.2074,"Apartment","Standard",2,1,750,NA,1960,"Active",825,"2025-11-20T00:00:00.000Z","list()",14,"Apt G4"
"1","107-Pine-St,-Chester,-SC-29706","107 Pine St, Chester, SC 29706","107 Pine St","Chester","SC","29706","Chester",34.71,-81.2115,"Single Family","Standard",3,2,1900,21780,1921,"Active",1395,"2025-12-03T00:00:00.000Z","list()",1,NA
"1","113-Mill-St,-Chester,-SC-29706","113 Mill St, Chester, SC 29706","113 Mill St","Chester","SC","29706","Chester",34.7075,-81.2202,"Apartment","Standard",2,1,700,NA,NA,"Active",850,"2025-12-03T00:00:00.000Z","list()",1,NA
"1","1684-Fire-Tower-Rd,-Chester,-SC-29706","1684 Fire Tower Rd, Chester, SC 29706","1684 Fire Tower Rd","Chester","SC","29706","Chester",34.6478,-81.1203,"Single Family","Standard",3,2,1550,NA,NA,"Active",1900,"2025-12-03T00:00:00.000Z","list()",1,NA
"1","106-Brawley-St,-Chester,-SC-29706","106 Brawley St, Chester, SC 29706","106 Brawley St","Chester","SC","29706","Chester",34.7127,-81.2049,"Single Family","Standard",3,1,NA,NA,NA,"Active",1350,"2025-11-18T00:00:00.000Z","list()",14,NA
"1","100-102-104-Hemphill-Ave,-Chester,-SC-29706","100-102-104 Hemphill Ave, Chester, SC 29706","100-102-104 Hemphill Ave","Chester","SC","29706","Chester",34.7111,-81.2121,"Apartment","Standard",2,1,825,NA,1994,"Inactive",895,"2025-05-06T00:00:00.000Z","2025-11-19T00:00:00.000Z",197,NA
"1","112-Hemphill-Ave,-Chester,-SC-29706","112 Hemphill Ave, Chester, SC 29706","112 Hemphill Ave","Chester","SC","29706","Chester",34.7122,-81.211,"Apartment","Standard",2,1,825,NA,1994,"Inactive",795,"2024-12-17T00:00:00.000Z","2025-11-19T00:00:00.000Z",337,NA
"1","113-Brawley-St,-Chester,-SC-29706","113 Brawley St, Chester, SC 29706","113 Brawley St","Chester","SC","29706","Chester",34.714,-81.205,"Single Family","Standard",3,1,1738,22651,1960,"Inactive",1800,"2025-11-03T00:00:00.000Z","2025-11-15T00:00:00.000Z",12,NA
"1","200-York-St,-Apt-A1,-Chester,-SC-29706","200 York St, Apt A1, Chester, SC 29706","200 York St","Chester","SC","29706","Chester",34.7168,-81.2064,"Condo","Standard",2,1,750,NA,NA,"Inactive",825,"2025-11-12T00:00:00.000Z","2025-11-13T00:00:00.000Z",1,"Apt A1"
"1","200-York-St,-Apt-R2,-Chester,-SC-29706","200 York St, Apt R2, Chester, SC 29706","200 York St","Chester","SC","29706","Chester",34.7176,-81.2069,"Condo","Standard",2,1,750,NA,NA,"Inactive",825,"2025-11-04T00:00:00.000Z","2025-11-05T00:00:00.000Z",1,"Apt R2"
"1","200-York-St,-Apt-K2,-Chester,-SC-29706","200 York St, Apt K2, Chester, SC 29706","200 York St","Chester","SC","29706","Chester",34.7185,-81.2067,"Condo","Standard",2,1,750,NA,NA,"Inactive",825,"2025-10-23T00:00:00.000Z","2025-10-24T00:00:00.000Z",1,"Apt K2"
"1","102-Juliet-St,-Chester,-SC-29706","102 Juliet St, Chester, SC 29706","102 Juliet St","Chester","SC","29706","Chester",34.7095,-81.2143,"Single Family","Standard",2,1,800,NA,NA,"Inactive",1095,"2025-10-22T00:00:00.000Z","2025-10-23T00:00:00.000Z",1,NA
"1","200-York-St,-Apt-C3,-Chester,-SC-29706","200 York St, Apt C3, Chester, SC 29706","200 York St","Chester","SC","29706","Chester",34.7167,-81.2072,"Condo","Standard",2,1,750,NA,NA,"Inactive",825,"2025-10-17T00:00:00.000Z","2025-10-18T00:00:00.000Z",1,"Apt C3"
"1","116-Church-St,-Apt-4,-Chester,-SC-29706","116 Church St, Apt 4, Chester, SC 29706","116 Church St","Chester","SC","29706","Chester",34.7035,-81.2108,"Apartment","Standard",1,1,700,NA,NA,"Inactive",1200,"2024-10-29T00:00:00.000Z","2025-10-04T00:00:00.000Z",340,"Apt 4"
"1","103-Culp-St,-Chester,-SC-29706","103 Culp St, Chester, SC 29706","103 Culp St","Chester","SC","29706","Chester",34.7072,-81.2104,"Single Family","Standard",2,1,913,2526,NA,"Inactive",1125,"2025-07-30T00:00:00.000Z","2025-09-20T00:00:00.000Z",52,NA
"1","200-York-St,-Apt-L4,-Chester,-SC-29706","200 York St, Apt L4, Chester, SC 29706","200 York St","Chester","SC","29706","Chester",34.7186,-81.2061,"Apartment","Standard",2,1,750,NA,NA,"Inactive",825,"2025-07-28T00:00:00.000Z","2025-09-19T00:00:00.000Z",53,"Apt L4"
"1","116-Church-St,-Apt-2,-Chester,-SC-29706","116 Church St, Apt 2, Chester, SC 29706","116 Church St","Chester","SC","29706","Chester",34.7035,-81.2108,"Apartment","Standard",1,1,600,15682,NA,"Inactive",1200,"2025-07-21T00:00:00.000Z","2025-09-13T00:00:00.000Z",54,"Apt 2"
"1","134-Saluda-St,-Unit-A,-Chester,-SC-29706","134 Saluda St, Unit A, Chester, SC 29706","134 Saluda St","Chester","SC","29706","Chester",34.7093,-81.2089,"Single Family","Standard",2,1.5,NA,24394,NA,"Inactive",1100,"2025-08-01T00:00:00.000Z","2025-09-11T00:00:00.000Z",41,"Unit A"
"1","200-York-St,-Apt-S5,-Chester,-SC-29706","200 York St, Apt S5, Chester, SC 29706","200 York St","Chester","SC","29706","Chester",34.718,-81.2065,"Single Family","Standard",2,1,750,NA,NA,"Inactive",825,"2025-04-01T00:00:00.000Z","2025-09-05T00:00:00.000Z",157,"Apt S5"
"1","200-York-St,-Apt-K4,-Chester,-SC-29706","200 York St, Apt K4, Chester, SC 29706","200 York St","Chester","SC","29706","Chester",34.7184,-81.2065,"Apartment","Standard",2,1,750,NA,NA,"Inactive",825,"2025-07-28T00:00:00.000Z","2025-08-30T00:00:00.000Z",33,"Apt K4"
