"zip","id","formattedAddress","addressLine1","addressLine2","city","state","zipCode","county","latitude","longitude","propertyType","listingType","bedrooms","bathrooms","squareFootage","lotSize","yearBuilt","status","price","listedDate","removedDate","daysOnMarket"
"1","2969-Old-Georgetown-Rd-W,-Kershaw,-SC-29067","2969 Old Georgetown Rd W, Kershaw, SC 29067","2969 Old Georgetown Rd W",NA,"Kershaw","SC","29067","Kershaw",34.4311,-80.5427,"Single Family","Standard",3,1,1227,NA,NA,"Inactive",995,"2025-10-18T00:00:00.000Z","2025-10-19T00:00:00.000Z",1
"1","2969-Old-Georgetown-Rd-W,---W,-Kershaw,-SC-29067","2969 Old Georgetown Rd W, # W, Kershaw, SC 29067","2969 Old Georgetown Rd W","# W","Kershaw","SC","29067","Kershaw",34.4312,-80.5426,"Single Family","Standard",3,1,1227,NA,NA,"Inactive",995,"2025-10-07T00:00:00.000Z","2025-10-08T00:00:00.000Z",1
"1","9339-Kershaw-Camden-Hwy,-Kershaw,-SC-29067","9339 Kershaw Camden Hwy, Kershaw, SC 29067","9339 Kershaw Camden Hwy",NA,"Kershaw","SC","29067","Lancaster",34.5108,-80.592,"Single Family","Standard",2,1,780,87120,1950,"Inactive",1250,"2025-08-18T00:00:00.000Z","2025-09-04T00:00:00.000Z",17
"1","122-E-Pine-St,-Kershaw,-SC-29067","122 E Pine St, Kershaw, SC 29067","122 E Pine St",NA,"Kershaw","SC","29067","Lancaster",34.5458,-80.5798,"Single Family","Standard",3,2,1064,NA,NA,"Inactive",1495,"2025-06-02T00:00:00.000Z","2025-09-03T00:00:00.000Z",93
"1","275-Ned-Williams-Rd,-Kershaw,-SC-29067","275 Ned Williams Rd, Kershaw, SC 29067","275 Ned Williams Rd",NA,"Kershaw","SC","29067","Lancaster",34.5025,-80.6016,"Single Family","Standard",3,2,1200,NA,NA,"Inactive",1750,"2025-02-10T00:00:00.000Z","2025-08-08T00:00:00.000Z",179
"1","3778-Roberts-Rd,-Kershaw,-SC-29067","3778 Roberts Rd, Kershaw, SC 29067","3778 Roberts Rd",NA,"Kershaw","SC","29067","Kershaw",34.5137,-80.5082,"Single Family","Standard",3,2,1512,257004,1980,"Inactive",4000,"2025-04-02T00:00:00.000Z","2025-07-11T00:00:00.000Z",100
"1","3668-Gold-Mine-Hwy,-Kershaw,-SC-29067","3668 Gold Mine Hwy, Kershaw, SC 29067","3668 Gold Mine Hwy",NA,"Kershaw","SC","29067","Lancaster",34.6309,-80.5302,"Single Family","Standard",2,2,980,21780,1996,"Inactive",1000,"2025-02-28T00:00:00.000Z","2025-03-13T00:00:00.000Z",13
"1","235-Neal-St,-Kershaw,-SC-29067","235 Neal St, Kershaw, SC 29067","235 Neal St",NA,"Kershaw","SC","29067","Lancaster",34.5377,-80.5805,"Single Family",NA,3,1.5,1330,NA,NA,"Inactive",1600,"2023-12-17T00:00:00.000Z","2024-02-08T00:00:00.000Z",53
"1","517-W-Richland-St,-Unit-517,-Kershaw,-SC-29067","517 W Richland St, Unit 517, Kershaw, SC 29067","517 W Richland St","Unit 517","Kershaw","SC","29067","Lancaster",34.5472,-80.5899,"Multi-Family",NA,3,1,1021,NA,NA,"Inactive",900,"2023-07-26T00:00:00.000Z","2023-10-01T00:00:00.000Z",67
"1","515-W-Richland-St,-Unit-515,-Kershaw,-SC-29067","515 W Richland St, Unit 515, Kershaw, SC 29067","515 W Richland St","Unit 515","Kershaw","SC","29067","Lancaster",34.5473,-80.5899,"Apartment",NA,3,2,1100,NA,NA,"Inactive",950,"2023-03-12T00:00:00.000Z","2023-04-02T00:00:00.000Z",21
