"zip","id","formattedAddress","addressLine1","city","state","zipCode","county","latitude","longitude","propertyType","listingType","bedrooms","bathrooms","squareFootage","status","price","listedDate","removedDate","daysOnMarket","addressLine2","lotSize","yearBuilt"
"1","3516-Minnow-Bridge-Rd,-Carlisle,-SC-29031","3516 Minnow Bridge Rd, Carlisle, SC 29031","3516 Minnow Bridge Rd","Carlisle","SC","29031","Chester",34.5987,-81.3997,"Single Family","Standard",3,1.5,1136,"Inactive",1300,"2023-01-18T00:00:00.000Z","2025-03-14T00:00:00.000Z",786,NA,NA,NA
"1","175-Industrial-Park-Rd,-Union,-SC-29379","175 Industrial Park Rd, Union, SC 29379","175 Industrial Park Rd","Union","SC","29379","Union",34.7217,-81.648,"Apartment","Standard",2,1,850,"Active",899,"2025-12-03T00:00:00.000Z","list()",1,NA,NA,NA
"1","1416-Peach-Orchard-Dr,-Union,-SC-29379","1416 Peach Orchard Dr, Union, SC 29379","1416 Peach Orchard Dr","Union","SC","29379","Union",34.7554,-81.607,"Manufactured","Standard",1,1,NA,"Active",1000,"2025-10-22T00:00:00.000Z","list()",43,NA,NA,NA
"1","202-Spring-St,-Union,-SC-29379","202 Spring St, Union, SC 29379","202 Spring St","Union","SC","29379","Union",34.7168,-81.6331,"Single Family","Standard",1,1,1056,"Active",800,"2025-12-03T00:00:00.000Z","list()",1,NA,NA,NA
"1","178-Leroy-Gossett-Rd,-Union,-SC-29379","178 Leroy Gossett Rd, Union, SC 29379","178 Leroy Gossett Rd","Union","SC","29379","Union",34.6419,-81.5596,"Single Family","Standard",3,1,875,"Inactive",835,"2025-11-11T00:00:00.000Z","2025-11-13T00:00:00.000Z",2,NA,NA,NA
"1","207-Sims-Dr,-Union,-SC-29379","207 Sims Dr, Union, SC 29379","207 Sims Dr","Union","SC","29379","Union",34.6999,-81.6101,"Single Family","Standard",1,1,NA,"Inactive",625,"2025-10-22T00:00:00.000Z","2025-10-28T00:00:00.000Z",6,NA,NA,NA
"1","708-E-Main-St,-Union,-SC-29379","708 E Main St, Union, SC 29379","708 E Main St","Union","SC","29379","Union",34.7149,-81.6105,"Single Family","Standard",3,2.5,1862,"Inactive",1670,"2025-10-16T00:00:00.000Z","2025-10-24T00:00:00.000Z",8,NA,NA,NA
"1","219-S-Church-St,-Apt-5A,-Union,-SC-29379","219 S Church St, Apt 5A, Union, SC 29379","219 S Church St","Union","SC","29379","Union",34.7115,-81.6187,"Apartment","Standard",2,1,NA,"Inactive",795,"2025-09-23T00:00:00.000Z","2025-10-17T00:00:00.000Z",24,"Apt 5A",NA,NA
"1","111-Woodlawn-Ave,-Union,-SC-29379","111 Woodlawn Ave, Union, SC 29379","111 Woodlawn Ave","Union","SC","29379","Union",34.7099,-81.626,"Single Family","Standard",2,1,1172,"Inactive",995,"2025-10-10T00:00:00.000Z","2025-10-11T00:00:00.000Z",1,NA,NA,NA
"1","110-Park-Dr,-Apt-2,-Union,-SC-29379","110 Park Dr, Apt 2, Union, SC 29379","110 Park Dr","Union","SC","29379","Union",34.7169,-81.612,"Single Family","Standard",2,1,NA,"Inactive",550,"2025-08-20T00:00:00.000Z","2025-09-12T00:00:00.000Z",23,"Apt 2",NA,NA
"1","115-White-Oak-St,-Union,-SC-29379","115 White Oak St, Union, SC 29379","115 White Oak St","Union","SC","29379","Union",34.7195,-81.6192,"Single Family","Standard",3,1.5,NA,"Inactive",700,"2025-09-03T00:00:00.000Z","2025-09-11T00:00:00.000Z",8,NA,NA,NA
"1","124-Ellis-St,-Union,-SC-29379","124 Ellis St, Union, SC 29379","124 Ellis St","Union","SC","29379","Union",34.7202,-81.5876,"Single Family","Standard",4,2,1502,"Inactive",1300,"2025-08-08T00:00:00.000Z","2025-08-25T00:00:00.000Z",17,NA,NA,NA
"1","109-Powell-St,-Union,-SC-29379","109 Powell St, Union, SC 29379","109 Powell St","Union","SC","29379","Union",34.7031,-81.6153,"Single Family","Standard",2,1,700,"Inactive",950,"2025-08-09T00:00:00.000Z","2025-08-18T00:00:00.000Z",9,NA,NA,NA
"1","219-S-Church-St,-Apt-4C,-Union,-SC-29379","219 S Church St, Apt 4C, Union, SC 29379","219 S Church St","Union","SC","29379","Union",34.7115,-81.6187,"Single Family","Standard",2,1,NA,"Inactive",695,"2025-08-05T00:00:00.000Z","2025-08-13T00:00:00.000Z",8,"Apt 4C",NA,NA
"1","115-Woodrow-St,-Union,-SC-29379","115 Woodrow St, Union, SC 29379","115 Woodrow St","Union","SC","29379","Union",34.7103,-81.6139,"Manufactured","Standard",3,1.5,NA,"Inactive",750,"2025-07-24T00:00:00.000Z","2025-07-25T00:00:00.000Z",1,NA,NA,NA
"1","317-W-South-St,-Unit-C,-Union,-SC-29379","317 W South St, Unit C, Union, SC 29379","317 W South St","Union","SC","29379","Union",34.7112,-81.6282,"Condo","Standard",2,2.5,1000,"Inactive",1150,"2025-05-16T00:00:00.000Z","2025-05-31T00:00:00.000Z",15,"Unit C",NA,NA
"1","207-Erwin-Ave,-Union,-SC-29379","207 Erwin Ave, Union, SC 29379","207 Erwin Ave","Union","SC","29379","Union",34.7156,-81.6316,"Single Family","Standard",2,1,896,"Inactive",750,"2025-05-20T00:00:00.000Z","2025-05-21T00:00:00.000Z",1,NA,NA,NA
"1","111-Williams-St,-Union,-SC-29379","111 Williams St, Union, SC 29379","111 Williams St","Union","SC","29379","Union",34.7063,-81.6149,"Single Family","Standard",2,1,NA,"Inactive",1050,"2025-05-08T00:00:00.000Z","2025-05-16T00:00:00.000Z",8,NA,NA,NA
