"zip","id","formattedAddress","addressLine1","addressLine2","city","state","zipCode","county","latitude","longitude","propertyType","listingType","bedrooms","bathrooms","squareFootage","lotSize","yearBuilt","status","price","listedDate","removedDate","daysOnMarket","hoa.fee"
"1","Ross-Rd,-Unit-B1,-Chester,-SC-29014","Ross Rd, Unit B1, Chester, SC 29014","Ross Rd","Unit B1","Chester","SC","29014","Chester",34.6381,-81.1509,"Land","Standard",NA,NA,NA,263102,NA,"Active",75000,"2025-06-11T00:00:00.000Z","list()",176,NA
"1","Tbd-Boyd-Rd,-Blackstock,-SC-29014","Tbd Boyd Rd, Blackstock, SC 29014","Tbd Boyd Rd",NA,"Blackstock","SC","29014","Chester",34.6332,-81.1492,"Land","Standard",NA,NA,NA,392040,NA,"Active",150000,"2025-04-10T00:00:00.000Z","list()",238,NA
"1","Tract-B-Old-Catholic-Church-Rd,-Blackstock,-SC-29014","Tract B Old Catholic Church Rd, Blackstock, SC 29014","Tract B Old Catholic Church Rd",NA,"Blackstock","SC","29014","Chester",34.5743,-81.0168,"Land","Standard",NA,NA,NA,1036728,NA,"Active",215000,"2024-01-01T00:00:00.000Z","list()",703,NA
"1","3108-Leon-Dr,-Blackstock,-SC-29014","3108 Leon Dr, Blackstock, SC 29014","3108 Leon Dr",NA,"Blackstock","SC","29014","Chester",34.5679,-80.9539,"Single Family","Standard",4,2,3040,196456,1972,"Active",140000,"2025-07-10T00:00:00.000Z","list()",147,NA
"1","2519-Old-Catholic-Church-Rd,-Blackstock,-SC-29014","2519 Old Catholic Church Rd, Blackstock, SC 29014","2519 Old Catholic Church Rd",NA,"Blackstock","SC","29014","Chester",34.5929,-81.0263,"Single Family","Standard",3,2,1422,123275,2008,"Active",235000,"2025-08-20T00:00:00.000Z","list()",106,NA
"1","Shannon-Rd,-Blackstock,-SC-29014","Shannon Rd, Blackstock, SC 29014","Shannon Rd",NA,"Blackstock","SC","29014","Chester",34.5676,-81.1288,"Land","Standard",NA,NA,NA,3920400,NA,"Active",1235000,"2025-08-29T00:00:00.000Z","list()",97,NA
"1","1808-Aiken-Rd,-Blackstock,-SC-29014","1808 Aiken Rd, Blackstock, SC 29014","1808 Aiken Rd",NA,"Blackstock","SC","29014","Chester",34.6289,-81.1306,"Single Family","New Construction",4,2,1791,309407,2024,"Active",415000,"2025-06-26T00:00:00.000Z","list()",161,NA
"1","3091-Shannon-Rd,-Blackstock,-SC-29014","3091 Shannon Rd, Blackstock, SC 29014","3091 Shannon Rd",NA,"Blackstock","SC","29014","Chester",34.5624,-81.1316,"Manufactured","New Construction",4,2,1440,43560,2025,"Active",239900,"2025-10-01T00:00:00.000Z","list()",64,NA
"1","538-Crofton-Rd,-Blackstock,-SC-29014","538 Crofton Rd, Blackstock, SC 29014","538 Crofton Rd",NA,"Blackstock","SC","29014","Fairfield",34.5426,-80.9832,"Single Family","Standard",3,1.5,2142,566280,1981,"Active",395000,"2025-09-28T00:00:00.000Z","list()",67,NA
"1","4822-Bull-Run-Rd,-Blackstock,-SC-29014","4822 Bull Run Rd, Blackstock, SC 29014","4822 Bull Run Rd",NA,"Blackstock","SC","29014","Fairfield",34.5426,-81.1121,"Single Family","Standard",3,2.5,2123,217800,2024,"Active",500000,"2025-10-09T00:00:00.000Z","list()",56,NA
