"zip","id","formattedAddress","addressLine1","addressLine2","city","state","zipCode","county","latitude","longitude","propertyType","listingType","bedrooms","bathrooms","squareFootage","lotSize","yearBuilt","hoa.fee","status","price","listedDate","removedDate","daysOnMarket"
"1","Woods-Ferry-Rd,-Carlisle,-SC-29031","Woods Ferry Rd, Carlisle, SC 29031","Woods Ferry Rd",NA,"Carlisle","SC","29031","Chester",34.7341,-81.4087,"Land","Standard",NA,NA,NA,499633,NA,NA,"Active",125000,"2024-05-17T00:00:00.000Z","list()",566
"1","3478-Cool-Branch-Rd,-Carlisle,-SC-29031","3478 Cool Branch Rd, Carlisle, SC 29031","3478 Cool Branch Rd",NA,"Carlisle","SC","29031","Fairfield",34.5516,-81.3699,"Manufactured","Standard",3,2,1348,102366,1998,NA,"Active",220000,"2025-10-10T00:00:00.000Z","list()",55
"1","101-Ac-Woods-Ferry-Rd,-Carlisle,-SC-29031","101 Ac Woods Ferry Rd, Carlisle, SC 29031","101 Ac Woods Ferry Rd",NA,"Carlisle","SC","29031","Chester",34.7108,-81.4154,"Land","Standard",NA,NA,NA,4399560,NA,NA,"Inactive",499900,"2025-09-08T00:00:00.000Z","2025-11-26T00:00:00.000Z",79
"1","1331-Torrence-Cir,-Unit-1331,-Davidson,-NC-29031","1331 Torrence Cir, Unit 1331, Davidson, NC 29031","1331 Torrence Cir","Unit 1331","Davidson","NC","29031","Mecklenburg",35.5008,-80.8685,"Condo","Standard",2,2,1087,NA,1996,330,"Inactive",579900,"2025-10-12T00:00:00.000Z","2025-10-25T00:00:00.000Z",13
"1","5630-Woodsferry-Rd,-Carlisle,-SC-29031","5630 Woodsferry Rd, Carlisle, SC 29031","5630 Woodsferry Rd",NA,"Carlisle","SC","29031","Chester",34.7305,-81.4043,"Land","Standard",NA,NA,NA,1210968,NA,NA,"Inactive",160000,"2024-08-24T00:00:00.000Z","2025-09-23T00:00:00.000Z",395
"1","4890-Woodsferry-Rd,-Carlisle,-SC-29031","4890 Woodsferry Rd, Carlisle, SC 29031","4890 Woodsferry Rd",NA,"Carlisle","SC","29031","Chester",34.6951,-81.4062,"Land","Standard",NA,NA,NA,784080,NA,NA,"Inactive",150000,"2025-06-17T00:00:00.000Z","2025-07-12T00:00:00.000Z",25
"1","0-Woods-Ferry-Rd,-Carlisle,-SC-29031","0 Woods Ferry Rd, Carlisle, SC 29031","0 Woods Ferry Rd",NA,"Carlisle","SC","29031","Chester",34.7341,-81.4087,"Land","Standard",NA,NA,NA,499633,NA,NA,"Inactive",97500,"2024-05-17T00:00:00.000Z","2025-07-03T00:00:00.000Z",412
"1","149-Baylor-St,-Carlisle,-SC-29031","149 Baylor St, Carlisle, SC 29031","149 Baylor St",NA,"Carlisle","SC","29031","Union",34.583,-81.4579,"Single Family","Standard",0,NA,NA,NA,NA,NA,"Inactive",5000,"2025-03-04T00:00:00.000Z","2025-06-17T00:00:00.000Z",105
"1","3536-Minnow-Bridge-Rd,-Carlisle,-SC-29031","3536 Minnow Bridge Rd, Carlisle, SC 29031","3536 Minnow Bridge Rd",NA,"Carlisle","SC","29031","Chester",34.5995,-81.3991,"Single Family","Standard",4,2,2063,87120,2005,NA,"Inactive",200000,"2025-04-17T00:00:00.000Z","2025-05-01T00:00:00.000Z",14
"1","Forest-Dr,-Carlisle,-SC-29031","Forest Dr, Carlisle, SC 29031","Forest Dr",NA,"Carlisle","SC","29031","Union",34.5903,-81.4793,"Land","Standard",NA,NA,NA,993168,NA,NA,"Inactive",119790,"2024-09-12T00:00:00.000Z","2025-03-31T00:00:00.000Z",200
